thingId,relationshipname,entityid,prop
Machine Status Changed by,IS_FROM_#SERIAL,17341004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17341005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17341007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17341007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17214005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18215001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy1 Up,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy1 System Startup,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Printhead 1 Drop Velocity Too Low,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1OverlapsPrintContinue,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Print Control Jet Start,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
System Startup,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Printer Online,IS_FROM_#SERIAL,17139021C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19072001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18185004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19204008C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Job is Edited,IS_FROM_#SERIAL,18010029C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19088022C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19169001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19235001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17149010C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19198003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18313001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18072001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy1 Up,IS_FROM_#SERIAL,19120003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
System Startup,IS_FROM_#SERIAL,19120003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,19120003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,19120003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy1 System Startup,IS_FROM_#SERIAL,19120003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Printer Online,IS_FROM_#SERIAL,19120003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19120004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19120006C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19120027C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19291024C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18031001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19291001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19291011C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19291012C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19291014C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17179059C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18206057C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18225015C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17171008C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18079013C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1OverlapsPrintContinue,IS_FROM_#SERIAL,18079019C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18079027C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18101025C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17097014C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19044002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19004006C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19004010C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19004014C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19004016C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19004017C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17067002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17067003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17068007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17070003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17070004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17074003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17139065C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,18071002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,18071002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19270002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19288001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17305006C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17325011C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17325012C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19057002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19071002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,19078004C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17129025C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Printhead 1 Too Many Holes in Phase Profile,IS_FROM_#SERIAL,17171050C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
FilterDamperReplacementDueSoon,IS_FROM_#SERIAL,17171050C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
User Logout,IS_FROM_#SERIAL,17171050C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17171057C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17171060C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18101002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1TooManyHolesInPhase,IS_FROM_#SERIAL,18009001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1ProductDelayTooShort,IS_FROM_#SERIAL,18009001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
User Login,IS_FROM_#SERIAL,18009001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Job is Edited,IS_FROM_#SERIAL,18009001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19316002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,18206060C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18010001C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18038012C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18059009C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17171049C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1BuildUpExpired,IS_FROM_#SERIAL,17171058C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17171058C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1BuildUpExpired,IS_FROM_#SERIAL,17179025C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17179025C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17179025C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17179025C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17179026C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17179035C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
MakeupTankLevelLow,IS_FROM_#SERIAL,17179040C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17179040C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17179040C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17179040C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17255002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17255002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17255002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17269002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17269002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
MakeupTankLevelLow,IS_FROM_#SERIAL,17269002C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Printer Shutdown,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy2 Up,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy1 Up,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy1 Down,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
AirFilterReplacementRecommended,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1MicroReceiveTimeout,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy2 System Shutdown,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Printer Online,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Availability Proxy2 Event,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Proxy2 Down,IS_FROM_#SERIAL,17269005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17269006C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17269009C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18038007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18038008C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17075008C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283009C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283010C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283012C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283018C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17283020C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,18010007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,18010007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
User Login,IS_FROM_#SERIAL,18010007C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17225005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,17225005C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1ShockLevelStatus,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Job is Edited,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
User Login,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Print Control Jet Stop,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Too many bad pixels,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
User Logout,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1Overspeed,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1ProductDelayTooShort,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1OverlapsPrintContinue,IS_FROM_#SERIAL,17255003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,19246003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,18129014C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,18157010C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1NoTimeToPhase,IS_FROM_#SERIAL,17129031C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17129035C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17129038C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17171003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17171003C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17179009C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17179009C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed by,IS_FROM_#SERIAL,17179009C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1NoTimeToPhase,IS_FROM_#SERIAL,17179012C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17179012C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17179013C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
No good shutter,IS_FROM_#SERIAL,17179014C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
InkSystemHumidityStatus,IS_FROM_#SERIAL,17179014C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Head1NoTimeToPhase,IS_FROM_#SERIAL,17179033C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
NA,IS_FROM_#SERIAL,17326013C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
Machine Status Changed,IS_FROM_#SERIAL,17326015C49ZH,"{ lifestarts: 1456099200, lifefinish: 1758844800, installed: 1456099200 }"
